finclip_id,movie_name,date,time,quadrant,tank_side,sample,test_line,alter,ref_dob,pat_line,pat_gen,mat_line,mat_gen
78,20211210_1036_R.avi,20211210,1036,q3,R,20211210_1036_38-2_18-2_R_q3,Pair 10 F2,28.04./04.05/10.05.21,09.04.21,38-2,F14,18-2,F14
77,20211210_1036_R.avi,20211210,1036,q4,R,20211210_1036_38-2_18-2_R_q4,Pair 10 F2,28.04./04.05/10.05.21,09.04.21,38-2,F14,18-2,F14
80,20211210_1346_R.avi,20211210,1346,q1,R,20211210_1346_38-2_18-2_R_q1,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14
79,20211210_1346_R.avi,20211210,1346,q2,R,20211210_1346_38-2_18-2_R_q2,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14
82,20211210_1346_R.avi,20211210,1346,q3,R,20211210_1346_38-2_18-2_R_q3,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14
81,20211210_1346_R.avi,20211210,1346,q4,R,20211210_1346_38-2_18-2_R_q4,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14
84,20211213_1004_R.avi,20211213,1004,q1,R,20211213_1004_38-2_18-2_R_q1,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14
83,20211213_1004_R.avi,20211213,1004,q2,R,20211213_1004_38-2_18-2_R_q2,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14
86,20211213_1004_R.avi,20211213,1004,q3,R,20211213_1004_50-2_8-2_R_q3,Pair 9 F2,22.3/29.03/01/13/19/22.04/6/10/21.05.21,31.05.21,50-2,F15,8-2,F14
85,20211213_1004_R.avi,20211213,1004,q4,R,20211213_1004_38-2_18-2_R_q4,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14
88,20211213_1353_R.avi,20211213,1353,q1,R,20211213_1353_50-2_8-2_R_q1,Pair 9 F2,22.3/29.03/01/13/19/22.04/6/10/21.05.21,24.03.21,50-2,F15,8-2,F14
87,20211213_1353_R.avi,20211213,1353,q2,R,20211213_1353_50-2_8-2_R_q2,Pair 9 F2,22.3/29.03/01/13/19/22.04/6/10/21.05.21,24.03.21,50-2,F15,8-2,F14
90,20211213_1353_R.avi,20211213,1353,q3,R,20211213_1353_50-2_8-2_R_q3,Pair 9 F2,22.3/29.03/01/13/19/22.04/6/10/21.05.21,24.03.21,50-2,F15,8-2,F14
89,20211213_1353_R.avi,20211213,1353,q4,R,20211213_1353_50-2_8-2_R_q4,Pair 9 F2,22.3/29.03/01/13/19/22.04/6/10/21.05.21,24.03.21,50-2,F15,8-2,F14
92,20211215_0952_R.avi,20211215,0952,q1,R,20211215_0952_50-2_38-2_R_q1,Pair 13 F2,22.03/28.04./4.5/10.5/25.5/31.5.21,09.04.21,50-2,F15,38-2,F15
91,20211215_0952_R.avi,20211215,0952,q2,R,20211215_0952_50-2_8-2_R_q2,Pair 9 F2,22.3/29.03/01/13/19/22.04/6/10/21.05.21,09.04.21,50-2,F15,8-2,F14
94,20211215_0952_R.avi,20211215,0952,q3,R,20211215_0952_50-2_38-2_R_q3,Pair 13 F2,22.03/28.04./4.5/10.5/25.5/31.5.21,09.04.21,50-2,F15,38-2,F15
93,20211215_0952_R.avi,20211215,0952,q4,R,20211215_0952_50-2_38-2_R_q4,Pair 13 F2,22.03/28.04./4.5/10.5/25.5/31.5.21,09.04.21,50-2,F15,38-2,F15
96,20211215_1423_R.avi,20211215,1423,q1,R,20211215_1423_50-2_38-2_R_q1,Pair 13 F2,22.03/28.04./4.5/10.5/25.5/31.5.21,09.04.21,50-2,F15,38-2,F15
95,20211215_1423_R.avi,20211215,1423,q2,R,20211215_1423_50-2_38-2_R_q2,Pair 13 F2,22.03/28.04./4.5/10.5/25.5/31.5.21,09.04.21,50-2,F15,38-2,F15
98,20211215_1423_R.avi,20211215,1423,q3,R,20211215_1423_38-2_40-1_R_q3,Pair 12 F2,13.4/22.4/20.4/4.5/25.5/31.5.21,28.05.21,38-2,F15,40-1,F15
97,20211215_1423_R.avi,20211215,1423,q4,R,20211215_1423_50-2_38-2_R_q4,Pair 13 F2,22.03/28.04./4.5/10.5/25.5/31.5.21,28.05.21,50-2,F15,38-2,F15
100,20211217_0951_R.avi,20211217,0951,q1,R,20211217_0951_38-2_40-1_R_q1,Pair 12 F2,13.4/22.4/20.4/4.5/25.5/31.5.21,19.05.21,38-2,F15,40-1,F15
99,20211217_0951_R.avi,20211217,0951,q2,R,20211217_0951_38-2_40-1_R_q2,Pair 12 F2,13.4/22.4/20.4/4.5/25.5/31.5.21,19.05.21,38-2,F15,40-1,F15
102,20211217_0951_R.avi,20211217,0951,q3,R,20211217_0951_38-2_40-1_R_q3,Pair 12 F2,13.4/22.4/20.4/4.5/25.5/31.5.21,19.05.21,38-2,F15,40-1,F15
101,20211217_0951_R.avi,20211217,0951,q4,R,20211217_0951_38-2_40-1_R_q4,Pair 12 F2,13.4/22.4/20.4/4.5/25.5/31.5.21,19.05.21,38-2,F15,40-1,F15
104,20211217_1106_R.avi,20211217,1106,q1,R,20211217_1106_50-2_18-2_R_q1,Pair 8 F2,22.3/26.4/4.5/10.5/17.5/31.5/08.06.21,09.04.21,50-2,F15,18-2,F14
103,20211217_1106_R.avi,20211217,1106,q2,R,20211217_1106_38-2_40-1_R_q2,Pair 12 F2,13.4/22.4/20.4/4.5/25.5/31.5.21,06.04.21,38-2,F15,40-1,F15
106,20211217_1106_R.avi,20211217,1106,q3,R,20211217_1106_50-2_18-2_R_q3,Pair 8 F2,22.3/26.4/4.5/10.5/17.5/31.5/08.06.21,06.04.21,50-2,F15,18-2,F14
105,20211217_1106_R.avi,20211217,1106,q4,R,20211217_1106_50-2_18-2_R_q4,Pair 8 F2,22.3/26.4/4.5/10.5/17.5/31.5/08.06.21,06.04.21,50-2,F15,18-2,F14
108,20211217_1416_R.avi,20211217,1416,q1,R,20211217_1416_50-2_18-2_R_q1,Pair 8 F2,22.3/26.4/4.5/10.5/17.5/31.5/08.06.21,28.05.21,50-2,F15,18-2,F14
107,20211217_1416_R.avi,20211217,1416,q2,R,20211217_1416_50-2_18-2_R_q2,Pair 8 F2,22.3/26.4/4.5/10.5/17.5/31.5/08.06.21,28.05.21,50-2,F15,18-2,F14
110,20211217_1416_R.avi,20211217,1416,q3,R,20211217_1416_50-2_18-2_R_q3,Pair 8 F2,22.3/26.4/4.5/10.5/17.5/31.5/08.06.21,15.04.21,50-2,F15,18-2,F14
109,20211217_1416_R.avi,20211217,1416,q4,R,20211217_1416_50-2_18-2_R_q4,Pair 8 F2,22.3/26.4/4.5/10.5/17.5/31.5/08.06.21,15.04.21,50-2,F15,18-2,F14
112,20211220_0954_R.avi,20211220,0954,q1,R,20211220_0954_50-2_18-2_R_q1,Pair 8 F2,22.3/26.4/4.5/10.5/17.5/31.5/08.06.21,09.04.21,50-2,F15,18-2,F14
111,20211220_0954_R.avi,20211220,0954,q2,R,20211220_0954_50-2_18-2_R_q2,Pair 8 F2,22.3/26.4/4.5/10.5/17.5/31.5/08.06.21,09.04.21,50-2,F15,18-2,F14
114,20211220_0954_R.avi,20211220,0954,q3,R,20211220_0954_50-2_18-2_R_q3,Pair 8 F2,31.3/22.3/28.3/13.4/28.4/15.6.21,09.04.21,50-2,F15,18-2,F14
113,20211220_0954_R.avi,20211220,0954,q4,R,20211220_0954_50-2_18-2_R_q4,Pair 8 F2,31.3/22.3/28.3/13.4/28.4/15.6.21,09.04.21,50-2,F15,18-2,F14
116,20211220_1423_R.avi,20211220,1423,q1,R,20211220_1423_50-2_18-2_R_q1,Pair 8 F2,31.3/22.3/28.3/13.4/28.4/15.6.21,09.04.21,50-2,F15,18-2,F14
115,20211220_1423_R.avi,20211220,1423,q2,R,20211220_1423_50-2_18-2_R_q2,Pair 8 F2,31.3/22.3/28.3/13.4/28.4/15.6.21,09.04.21,50-2,F15,18-2,F14
118,20211220_1423_R.avi,20211220,1423,q3,R,20211220_1423_38-2_21-2_R_q3,Pair 11 F2,22.3/13.4/6.5/4.6/15.6.21,04.05.21,38-2,F15,21-2,F15
117,20211220_1423_R.avi,20211220,1423,q4,R,20211220_1423_50-2_18-2_R_q4,Pair 8 F2,31.3/22.3/28.3/13.4/28.4/15.6.21,09.04.21,50-2,F15,18-2,F14
120,20211220_1527_R.avi,20211220,1527,q1,R,20211220_1527_38-2_21-2_R_q1,Pair 11 F2,22.3/13.4/6.5/4.6/15.6.21,04.06.21,38-2,F15,21-2,F15
119,20211220_1527_R.avi,20211220,1527,q2,R,20211220_1527_38-2_21-2_R_q2,Pair 11 F2,22.3/13.4/6.5/4.6/15.6.21,04.06.21,38-2,F15,21-2,F15
122,20211220_1527_R.avi,20211220,1527,q3,R,20211220_1527_38-2_21-2_R_q3,Pair 11 F2,22.3/13.4/6.5/4.6/15.6.21,04.06.21,38-2,F15,21-2,F15
121,20211220_1527_R.avi,20211220,1527,q4,R,20211220_1527_38-2_21-2_R_q4,Pair 11 F2,22.3/13.4/6.5/4.6/15.6.21,04.06.21,38-2,F15,21-2,F15
124,20211221_1356_R.avi,20211221,1356,q1,R,20211221_1356_38-2_18-2_R_q1,Pair 10 F2,25.05./31.5/11.6/15.6.21,09.06.21,38-2,F14,18-2,F14
123,20211221_1356_R.avi,20211221,1356,q2,R,20211221_1356_38-2_21-2_R_q2,Pair 11 F2,22.3/13.4/6.5/4.6/15.6.21,17.03.21,38-2,F15,21-2,F15
126,20211221_1356_R.avi,20211221,1356,q3,R,20211221_1356_38-2_18-2_R_q3,Pair 10 F2,25.05./31.5/11.6/15.6.21,09.06.21,38-2,F14,18-2,F14
125,20211221_1356_R.avi,20211221,1356,q4,R,20211221_1356_38-2_18-2_R_q4,Pair 10 F2,25.05./31.5/11.6/15.6.21,09.06.21,38-2,F14,18-2,F14
128,20211221_1452_R.avi,20211221,1452,q1,R,20211221_1452_38-2_18-2_R_q1,Pair 10 F2,25.05./31.5/11.6/15.6.21,11.06.21,38-2,F14,18-2,F14
127,20211221_1452_R.avi,20211221,1452,q2,R,20211221_1452_38-2_18-2_R_q2,Pair 10 F2,25.05./31.5/11.6/15.6.21,11.06.21,38-2,F14,18-2,F14
130,20211221_1452_R.avi,20211221,1452,q3,R,20211221_1452_38-2_18-2_R_q3,Pair 10 F2,25.05./31.5/11.6/15.6.21,11.06.21,38-2,F14,18-2,F14
129,20211221_1452_R.avi,20211221,1452,q4,R,20211221_1452_38-2_18-2_R_q4,Pair 10 F2,25.05./31.5/11.6/15.6.21,11.06.21,38-2,F14,18-2,F14
132,20211222_0946_R.avi,20211222,0946,q1,R,20211222_0946_8-2_38-2_R_q1,Pair 14 F2,22.3/4.5/14.5/8.6/15.6.21,19.05.21,8-2,F14,38-2,F15
131,20211222_0946_R.avi,20211222,0946,q2,R,20211222_0946_8-2_38-2_R_q2,Pair 14 F2,22.3/4.5/14.5/8.6/15.6.21,19.05.21,8-2,F14,38-2,F15
134,20211222_0946_R.avi,20211222,0946,q3,R,20211222_0946_8-2_38-2_R_q3,Pair 14 F2,22.3/4.5/14.5/8.6/15.6.21,19.05.21,8-2,F14,38-2,F15
133,20211222_0946_R.avi,20211222,0946,q4,R,20211222_0946_8-2_38-2_R_q4,Pair 14 F2,22.3/4.5/14.5/8.6/15.6.21,19.05.21,8-2,F14,38-2,F15
136,20211222_1045_R.avi,20211222,1045,q1,R,20211222_1045_8-2_38-2_R_q1,Pair 14 F2,22.3/4.5/14.5/8.6/15.6.21,06.04.21,8-2,F14,38-2,F15
135,20211222_1045_R.avi,20211222,1045,q2,R,20211222_1045_8-2_38-2_R_q2,Pair 14 F2,22.3/4.5/14.5/8.6/15.6.21,09.04.21,8-2,F14,38-2,F15
137,20211222_1045_R.avi,20211222,1045,q4,R,20211222_1045_8-2_38-2_R_q4,Pair 14 F2,22.3/4.5/14.5/8.6/15.6.21,06.04.21,8-2,F14,38-2,F15
139,20220321_0959_L.avi,20220321,0959,q1,L,20220321_0959_8-2_40-1_L_q1,Pair 7 F2,04.05/21.05/31.05/01.06/08.6.21,31.05.21,8-2,F14,40-1,F15
138,20220321_0959_L.avi,20220321,0959,q2,L,20220321_0959_8-2_40-1_L_q2,Pair 7 F2,04.05/21.05/31.05/01.06/08.6.21,31.05.21,8-2,F14,40-1,F15
141,20220321_0959_L.avi,20220321,0959,q3,L,20220321_0959_8-2_40-1_L_q3,Pair 7 F2,18.05/31.05/18.06.21,31.05.21,8-2,F14,40-1,F15
140,20220321_0959_L.avi,20220321,0959,q4,L,20220321_0959_8-2_40-1_L_q4,Pair 7 F2,18.05/31.05/18.06.21,31.05.21,8-2,F14,40-1,F15
143,20220321_1001_R.avi,20220321,1001,q1,R,20220321_1001_8-2_40-1_R_q1,Pair 7 F2,18.05/31.05/18.06.21,31.05.21,8-2,F14,40-1,F15
142,20220321_1001_R.avi,20220321,1001,q2,R,20220321_1001_8-2_40-1_R_q2,Pair 7 F2,18.05/31.05/18.06.21,31.05.21,8-2,F14,40-1,F15
144,20220321_1001_R.avi,20220321,1001,q4,R,20220321_1001_8-2_40-1_R_q4,Pair 7 F2,18.05/31.05/18.06.21,31.05.21,8-2,F14,40-1,F15
146,20220322_1011_R.avi,20220322,1011,q1,R,20220322_1011_38-2_40-1_R_q1,Pair 12 F2,7.4/26.4/28.4/4.5/6.5/10.5/12.5.21,09.04.21,38-2,F15,40-1,F15
145,20220322_1011_R.avi,20220322,1011,q2,R,20220322_1011_38-2_40-1_R_q2,Pair 12 F2,7.4/26.4/28.4/4.5/6.5/10.5/12.5.21,09.04.21,38-2,F15,40-1,F15
148,20220322_1011_R.avi,20220322,1011,q3,R,20220322_1011_38-2_40-1_R_q3,Pair 12 F2,7.4/26.4/28.4/4.5/6.5/10.5/12.5.21,09.04.21,38-2,F15,40-1,F15
147,20220322_1011_R.avi,20220322,1011,q4,R,20220322_1011_38-2_40-1_R_q4,Pair 12 F2,7.4/26.4/28.4/4.5/6.5/10.5/12.5.21,09.04.21,38-2,F15,40-1,F15
150,20220322_1014_L.avi,20220322,1014,q1,L,20220322_1014_38-2_40-1_L_q1,Pair 12 F2,7.4/26.4/28.4/4.5/6.5/10.5/12.5.21,09.04.21,38-2,F15,40-1,F15
